gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
029241,01,000208,19990505,20061219,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIAVI SOLUTIONS INC,VIAV,925550105,0000912093,3576,334210
063194,01,000208,19990525,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,CNET NETWORKS INC,CNET.,12613R104,0001015577,7370,517110
062550,01,000208,19990528,20001029,Nasdaq 100,LGCAP,I0028,,,EXCHG,LYCOS INC,LCOS.,550818108,0001007992,7370,514191
014897,01,000208,19990610,20000906,Nasdaq 100,LGCAP,I0028,,,EXCHG,VISX INC/DE,EYE.1,92844S105,0000837991,3845,334510
063180,01,000208,19990625,20060207,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIEBEL SYSTEMS INC,SEBL,826170102,0001006835,7372,511210
116526,01,000208,19990714,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,CONEXANT SYSTEMS INC,CNXT.1,207142308,0001069353,3674,334413
064356,01,000208,19990804,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,CIENA CORP,CIEN,171779309,0000936395,3661,334210
113491,01,000208,19990909,20001105,Nasdaq 100,LGCAP,I0028,,,EXCHG,GLOBAL CROSSING LTD,GLBC,G3921A100,0001061322,4813,517110
114524,01,000208,19991006,,Nasdaq 100,LGCAP,I0028,,,EXCHG,EBAY INC,EBAY,278642103,0001065088,7370,519130
120178,01,000208,19991027,20010530,Nasdaq 100,LGCAP,I0028,,,EXCHG,VOICESTREAM WIRELESS CORP,VSTR.,928615103,,4812,513322
065899,01,000208,19991122,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,REALNETWORKS INC,RNWK,75605L708,0001046327,7372,511210
065488,01,000208,19991220,20000608,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETWORK SOLUTIONS INC,NSOL.,64121Q102,0001030341,7370,514191
060969,01,000208,19991220,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEGATO SYSTEMS INC,LGTO,524651106,0000859360,7372,511210
031620,01,000208,19991220,20010212,Nasdaq 100,LGCAP,I0028,,,EXCHG,SDL INC,SDLI,784076101,0000934741,3674,334413
065489,01,000208,19991220,20011216,Nasdaq 100,LGCAP,I0028,,,EXCHG,XO HOLDINGS INC -CL A,3XOHO,983764101,0001111634,4813,517110
063099,01,000208,19991220,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADVISION INC,BVSN,111412706,0000920448,7370,5415
065706,01,000208,19991220,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,ABOVENET INC,ABVT,591689104,0001043533,4899,517919
012484,01,000208,19991220,20020602,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADELPHIA COMMUN  -CL A,ADELQ,006848105,0000796486,4841,517510
023943,01,000208,19991220,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,PMC-SIERRA INC,PMCS,69344F106,0000767920,3674,334413
062712,01,000208,19991220,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,I2 TECHNOLOGIES INC,ITWO,465754208,0001009304,7372,511210
065904,01,000208,19991220,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLIED MICRO CIRCUITS CORP,AMCC,03822W406,0000711065,3674,334413
064853,01,000208,19991220,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,QORVO INC,QRVO,74736K101,0001604778,3674,334413
029791,01,000208,19991220,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,QLOGIC CORP,QLGC,747277101,0000918386,3570,334118
024008,01,000208,19991220,20070604,Nasdaq 100,LGCAP,I0028,,,EXCHG,MEDIMMUNE INC,MEDI,584699102,0000873591,2836,325414
060900,01,000208,19991220,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,DISH NETWORK CORP,DISH,25470M109,0001001082,4841,515210
061591,01,000208,19991220,20161218,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETAPP INC,NTAP,64110D104,0001002047,3572,334112
062261,01,000208,19991230,20021215,Nasdaq 100,LGCAP,I0028,,,EXCHG,GEMSTAR-TV GUIDE INTL INC,GMST,36866W106,0000923282,4841,515210
066368,01,000208,20000609,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERISIGN INC,VRSN,92343E102,0001014473,7370,519130
121718,01,000208,20000907,20091028,Nasdaq 100,LGCAP,I0028,,,EXCHG,JUNIPER NETWORKS INC,JNPR,48203R104,0001043604,3576,334118
121493,01,000208,20001027,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,ARIBA INC,ARBA,04033V203,0001084755,7372,511210
066708,01,000208,20001030,20151110,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADCOM CORP,BRCM,111320107,0001054374,3674,334413
132502,01,000208,20001106,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,PALM INC,PALM,696643105,0001100389,3571,334111
024468,01,000208,20001218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOGEN INC,BIIB,09062X103,0000875045,2836,325414
063185,01,000208,20001218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHECK POINT SOFTWARE TECHN,CHKP,M22465104,0001015922,7372,511210
106368,01,000208,20001218,20011004,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXODUS COMMUNICATIONS INC,3EXDSQ,302088109,,7370,514191
111488,01,000208,20001218,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,INKTOMI CORP,INKT,457277101,0001024302,7372,511210
011135,01,000208,20001218,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,RATIONAL SOFTWARE CORP,RATL,75409P202,0000722056,7370,541519
112178,01,000208,20001218,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,ABGENIX INC,ABGX,00339B107,0001052837,2836,325414
029312,01,000208,20001218,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,HUMAN GENOME SCIENCES INC,HGSI,444903108,0000901219,2835,325413
064156,01,000208,20001218,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER WORLDWIDE INC,MWW,611742107,0001020416,7370,519130
062784,01,000208,20001218,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,MILLENNIUM PHARMACEUTICALS,MLNM,599902103,0001002637,2835,325413
029095,01,000208,20001218,20060103,Nasdaq 100,LGCAP,I0028,,,EXCHG,MERCURY INTERACTIVE CORP,MERQ,589405109,0000867058,7372,511210
064606,01,000208,20001218,20080506,Nasdaq 100,LGCAP,I0028,,,EXCHG,BEA SYSTEMS INC,BEAS,073325102,0001031798,7372,511210
030170,01,000208,20001218,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,FLEX LTD,FLEX,Y2573F102,0000866374,3672,334412
120774,01,000208,20010213,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROCADE COMMUNICATIONS SYS,BRCD,111621306,0001009626,3576,334118
014623,01,000208,20010313,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,NOVELLUS SYSTEMS INC,NVLS.1,670008101,0000836106,3559,333295
117768,01,000208,20010531,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,NVIDIA CORP,NVDA,67066G104,0001045810,3674,334413
063051,01,000208,20011004,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANDRX CORP,ADRX,034553107,0001123337,5122,424210
024856,01,000208,20011005,,Nasdaq 100,LGCAP,I0028,,,EXCHG,GILEAD SCIENCES INC,GILD,375558103,0000882095,2836,325414
031122,01,000208,20011217,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,APOLLO EDUCATION GROUP INC,APOL,037604105,0000929887,8200,611310
015855,01,000208,20011224,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYMANTEC CORP,SYMC,871503108,0000849399,7372,511210
025356,01,000208,20011224,,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPRESS SCRIPTS HOLDING CO,ESRX,30219G108,0001532063,5912,446110
006003,01,000208,20011224,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTEGRATED DEVICE TECH INC,IDTI,458118106,0000703361,3674,334413
024473,01,000208,20011224,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEPRACOR INC,SEPR,817315104,0000877357,2834,325412
024699,01,000208,20011224,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,IMCLONE SYSTEMS INC,IMCL.1,45245W109,0000765258,2836,325414
024878,01,000208,20011224,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,PDL BIOPHARMA INC,PDLI,69329Y104,0000882104,2836,325414
062336,01,000208,20011224,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,CYTYC CORP,CYTC,232946103,0000849778,3826,334516
126136,01,000208,20011224,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHARTER COMMUNICATIONS INC,CHTR,16117M107,0001091667,4841,515210
024110,01,000208,20011224,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,ICOS CORP,ICOS,449295104,0000874294,2834,325412
023945,01,000208,20011224,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,CEPHALON INC,CEPH,156708109,0000873364,2834,325412
024975,01,000208,20011224,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYNOPSYS INC,SNPS,871607107,0000883241,7372,511210
118577,01,000208,20011224,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIFE TECHNOLOGIES CORP,LIFE.3,53217V109,0001073431,2836,325414
028320,01,000208,20011224,20071009,Nasdaq 100,LGCAP,I0028,,,EXCHG,CDW CORP,CDW,12512N105,0001402057,5045,423430
031587,01,000208,20020603,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR TREE INC,DLTR,256746108,0000935703,5331,452990
009699,01,000208,20020715,20150804,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIGMA-ALDRICH CORP,SIAL,826552101,0000090185,2833,325411
025062,01,000208,20020724,20061219,Nasdaq 100,LGCAP,I0028,,,EXCHG,LINCARE HOLDINGS INC,LNCR,532791100,0000882235,8090,621999
014538,90,000208,20021107,20120529,Nasdaq 100,LGCAP,I0028,,,EXCHG,TEVA PHARMACEUTICALS,TEVA,881624209,0000818686,2834,325412
003226,01,000208,20021119,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210
025880,01,000208,20021216,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,PATTERSON COMPANIES INC,PDCO,703395103,0000891024,5047,423450
014225,01,000208,20021223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FASTENAL CO,FAST,311900104,0000815556,5000,423
005116,01,000208,20021223,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,GENTEX CORP,GNTX,371901109,0000355811,3714,336390
013397,01,000208,20021223,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,FIRST HEALTH GROUP CORP,FHCC,320960107,0000812910,6411,524292
029108,01,000208,20021223,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,PATTERSON-UTI ENERGY INC,PTEN,703481101,0000889900,1381,213111
061494,01,000208,20021223,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,SCHEIN (HENRY) INC,HSIC,806407102,0001000228,5047,423450
064835,90,000208,20021223,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,RYANAIR HOLDINGS PLC,RYAAY,783513203,0001038683,4512,481111
061627,01,000208,20021223,20060516,Nasdaq 100,LGCAP,I0028,,,EXCHG,PIXAR,PIXR,725811103,0001002114,7812,512110
014565,01,000208,20021223,20070213,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN POWER CONVERSION CP,APCC.,029066107,0000835910,3620,335999
009248,01,000208,20021223,20071227,Nasdaq 100,LGCAP,I0028,,,EXCHG,ROSS STORES INC,ROST,778296103,0000745732,5651,448140
024893,01,000208,20021223,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,WHOLE FOODS MARKET INC,WFM,966837106,0000865436,5411,445110
028648,01,000208,20021223,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,PETSMART INC,PETM,716768106,0000863157,5990,453910
063422,01,000208,20021223,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAMAR ADVERTISING CO  -CL A,LAMR,512816109,0001090425,6798,531190
013700,01,000208,20021223,20131229,Nasdaq 100,LGCAP,I0028,,,EXCHG,DENTSPLY SIRONA INC,XRAY,24906P109,0000818479,3843,339114
004494,01,000208,20021223,20151220,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPEDITORS INTL WASH INC,EXPD,302130109,0000746515,4731,488510
065609,01,000208,20021223,20151220,Nasdaq 100,LGCAP,I0028,,,EXCHG,C H ROBINSON WORLDWIDE INC,CHRW,12541W209,0001043277,4213,484121
061513,01,000208,20031113,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,SANDISK CORP,SNDK,80004C101,0001000180,3572,334112
013440,03,000208,20031222,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308,0000794323,4813,517110
066379,01,000208,20031222,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,CAREER EDUCATION CORP,CECO,141665109,0001046568,8200,611210
130762,01,000208,20031222,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTERSIL CORP  -CL A,ISIL,46069S109,0001096325,3674,334413
029322,01,000208,20031222,20061022,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATI TECHNOLOGIES INC,ATYT,001941103,0001065331,3674,334413
006565,01,000208,20031222,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAM RESEARCH CORP,LRCX,512807108,0000707549,3559,333242
065986,01,000208,20031222,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,BLACKBERRY LTD,BB,09228F103,0001070235,7372,511210
137310,01,000208,20031222,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,MARVELL TECHNOLOGY GROUP LTD,MRVL,G5876H105,0001058057,3674,334413
141459,01,000208,20031222,20151220,Nasdaq 100,LGCAP,I0028,,,EXCHG,GARMIN LTD,GRMN,H2906T109,0001121788,3812,334511
006307,03,000208,20040819,20131229,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEARS HOLDINGS CORP,SHLDQ,812350106,0001310067,5311,452111
001878,01,000208,20041220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTODESK INC,ADSK,052769106,0000769397,7370,519130
001164,10,000208,20041220,20060110,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCI INC,MCIP,552691107,0000723527,4813,517110
004439,90,000208,20041220,20071227,Nasdaq 100,LGCAP,I0028,,,EXCHG,TELEFONAKTIEBOLAGET LM ERICS,ERIC,294821608,0000717826,3663,334220
124442,01,000208,20041220,20071227,Nasdaq 100,LGCAP,I0028,,,EXCHG,XM SATELLITE RADIO HLDGS INC,XMSR,983759101,0001091530,4832,515112
030662,01,000208,20041220,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIRIUS XM HOLDINGS INC,SIRI,82968B103,0000908937,4832,515112
153668,01,000208,20041220,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIRGIN MEDIA INC,VMED,92769L101,0001270400,4841,515210
160549,01,000208,20041220,20091221,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIBERTY GLOBAL PLC,LBTYK,G5480U104,0001570585,4841,515210
149318,01,000208,20041220,20151220,Nasdaq 100,LGCAP,I0028,,,EXCHG,WYNN RESORTS LTD,WYNN,983134107,0001174922,7990,721120
111864,01,000208,20041229,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COGNIZANT TECH SOLUTIONS,CTSH,192446102,0001058290,7370,541512
013599,01,000208,20050706,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CELGENE CORP,CELG,151020104,0000816284,2834,325412
024473,01,000208,20050815,20071227,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEPRACOR INC,SEPR,817315104,0000877357,2834,325412
117768,01,000208,20051221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NVIDIA CORP,NVDA,67066G104,0001045810,3674,334413
160329,01,000208,20051221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALPHABET INC,GOOGL,02079K305,0001652044,7370,519130
122841,01,000208,20051221,20061211,Nasdaq 100,LGCAP,I0028,,,EXCHG,RED HAT INC,RHT,756577102,0001087423,7372,511210
029150,01,000208,20051221,20061219,Nasdaq 100,LGCAP,I0028,,,EXCHG,URBAN OUTFITTERS INC,URBN,917047102,0000912615,5651,448140
061355,01,000208,20051221,20071204,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHECKFREE CORP,CKFR,162813109,0000949341,7389,561990
029108,01,000208,20051221,20071227,Nasdaq 100,LGCAP,I0028,,,EXCHG,PATTERSON-UTI ENERGY INC,PTEN,703481101,0000889900,1381,213111
001111,02,000208,20051221,20080709,Nasdaq 100,LGCAP,I0028,,,EXCHG,ACTIVISION INC,ATVI.1,004930202,,7372,511210
064156,01,000208,20051221,20081111,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER WORLDWIDE INC,MWW,611742107,0001020416,7370,519130
013421,01,000208,20051221,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,CADENCE DESIGN SYSTEMS INC,CDNS,127387108,0000813672,7372,511210
164296,01,000208,20051221,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,DISCOVERY INC,DISCA,25470F104,0001437107,4841,515210
140902,02,000208,20051221,20111220,Nasdaq 100,LGCAP,I0028,,,EXCHG,NII HOLDINGS INC,NIHD,62913F201,0001037016,4812,517210
126296,02,000208,20051221,20141221,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPEDIA GROUP INC,EXPE,30212P303,0001324424,4700,561510
013003,02,000208,20060104,20111206,Nasdaq 100,LGCAP,I0028,,,EXCHG,JOY GLOBAL INC,JOY,481165108,0000801898,3532,333131
024843,01,000208,20060111,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMYLIN PHARMACEUTICALS INC,AMLN,032346108,0000881464,2834,325412
136725,01,000208,20060208,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTUITIVE SURGICAL INC,ISRG,46120E602,0001035267,3845,334510
125595,01,000208,20060421,20091221,Nasdaq 100,LGCAP,I0028,,,EXCHG,AKAMAI TECHNOLOGIES INC,AKAM,00971T101,0001086222,7370,519130
030024,01,000208,20060517,20110526,Nasdaq 100,LGCAP,I0028,,,EXCHG,MILLICOM INTL CELLULAR SA,MIICF,L6388F110,0000912958,4812,517210
174147,01,000208,20061023,,Nasdaq 100,LGCAP,I0028,,,EXCHG,QURATE RETAIL INC,QRTEA,74915M100,,5961,454113
030059,01,000208,20061212,20070307,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERN EAGLE OUTFITTERS INC,AEO,02553E106,0000919012,5600,4481
024344,01,000208,20061220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,0000875320,2834,325412
013440,03,000208,20061220,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308,0000794323,4813,517110
211009,90,000208,20061220,20121211,Nasdaq 100,LGCAP,I0028,,,EXCHG,INFOSYS LTD,INFY,456788108,0001067491,7371,541511
102696,02,000208,20070206,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,LOGITECH INTERNATIONAL SA,LOGI,H50430232,0001032975,3577,334118
064835,90,000208,20070214,20091221,Nasdaq 100,LGCAP,I0028,,,EXCHG,RYANAIR HOLDINGS PLC,RYAAY,783513203,0001038683,4512,481111
010795,04,000208,20070308,20080722,Nasdaq 100,LGCAP,I0028,,,EXCHG,UNITED CONTINENTAL HLDGS INC,UAL,910047109,0000100517,4512,481111
023945,01,000208,20070605,20110719,Nasdaq 100,LGCAP,I0028,,,EXCHG,CEPHALON INC,CEPH,156708109,0000873364,2834,325412
004864,01,000208,20070718,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOSTER WHEELER AG,FWLT,H27178104,0001130385,1600,2371
061494,01,000208,20071003,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SCHEIN (HENRY) INC,HSIC,806407102,0001000228,5047,423450
114484,04,000208,20071010,20081229,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEAP WIRELESS INTL INC,LEAP,521863308,0001065049,4812,517210
164532,90,000208,20071205,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BAIDU INC,BIDU,056752108,0001329099,7370,519130
164283,90,000208,20071228,20090120,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOCUS MEDIA HOLDING LTD,FMCN,34415V109,0001330017,7310,541890
024316,01,000208,20071228,20091221,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER BEVERAGE CORP,MNST,61174X109,0000865752,2086,312111
064030,01,000208,20071228,20091221,Nasdaq 100,LGCAP,I0028,,,EXCHG,STEEL DYNAMICS INC,STLD,858119100,0001022671,3312,331110
020904,01,000208,20071228,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,HOLOGIC INC,HOLX,436440101,0000859737,3844,334517
063527,01,000208,20071228,20161218,Nasdaq 100,LGCAP,I0028,,,EXCHG,STERICYCLE INC,SRCL,858912108,0000861878,4955,562211
012206,01,000208,20080507,20150727,Nasdaq 100,LGCAP,I0028,,,EXCHG,DIRECTV,DTV.2,25490A309,0001465112,4841,515210
003310,01,000208,20080520,20181106,Nasdaq 100,LGCAP,I0028,,,EXCHG,CA INC,CA,12673P105,0000356028,7372,511210
180405,01,000208,20080710,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ACTIVISION BLIZZARD INC,ATVI,00507V109,0000718877,7372,511210
028477,01,000208,20080723,20111220,Nasdaq 100,LGCAP,I0028,,,EXCHG,FLIR SYSTEMS INC,FLIR,302445101,0000354908,3812,334511
150937,01,000208,20081112,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEAGATE TECHNOLOGY PLC,STX,G7945M107,0001137789,3572,334112
001891,01,000208,20081230,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,518210
009248,01,000208,20081230,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ROSS STORES INC,ROST,778296103,0000745732,5651,448140
028180,01,000208,20081230,,Nasdaq 100,LGCAP,I0028,,,EXCHG,O'REILLY AUTOMOTIVE INC,ORLY,67103H107,0000898173,5531,441310
061871,01,000208,20081230,20091221,Nasdaq 100,LGCAP,I0028,,,EXCHG,PHARMACEUTICAL PROD DEV INC,PPDI,717124101,0001003124,8731,541711
005783,01,000208,20081230,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,0000728535,4213,484121
029150,01,000208,20081230,20111220,Nasdaq 100,LGCAP,I0028,,,EXCHG,URBAN OUTFITTERS INC,URBN,917047102,0000912615,5651,448140
138205,01,000208,20081230,20111220,Nasdaq 100,LGCAP,I0028,,,EXCHG,ILLUMINA INC,ILMN,452327109,0001110803,3826,334516
175404,01,000208,20081230,20120422,Nasdaq 100,LGCAP,I0028,,,EXCHG,FIRST SOLAR INC,FSLR,336433107,0001274494,3674,334413
175163,01,000208,20081230,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,WARNER CHILCOTT PLC,WCRX,G94368100,0001323854,2834,325412
118577,01,000208,20081230,20130828,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIFE TECHNOLOGIES CORP,LIFE.3,53217V109,0001073431,2836,325414
014256,01,000208,20081230,20141221,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,0000743316,3674,334413
012886,04,000208,20090121,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TWENTY-FIRST CENTURY FOX INC,FOXA,90130A101,0001308161,4888,515210
012850,01,000208,20090717,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CERNER CORP,CERN,156782104,0000804753,7373,541512
119314,01,000208,20091029,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BOOKING HOLDINGS INC,BKNG,09857L108,0001075531,7370,519130
007637,01,000208,20091222,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MYLAN NV,MYL,N59465109,0001623613,2834,325412
014894,90,000208,20091222,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VODAFONE GROUP PLC,VOD,92857W308,0000839923,4812,517210
063186,01,000208,20091222,20111220,Nasdaq 100,LGCAP,I0028,,,EXCHG,QIAGEN NV,QGEN,N72482123,0001015820,3826,334516
153668,01,000208,20091222,20130604,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIRGIN MEDIA INC,VMED,92769L101,0001270400,4841,515210
014650,01,000208,20091222,20130729,Nasdaq 100,LGCAP,I0028,,,EXCHG,BMC SOFTWARE INC,BMC,055921100,0000835729,7372,511210
061513,01,000208,20091222,20160315,Nasdaq 100,LGCAP,I0028,,,EXCHG,SANDISK CORP,SNDK,80004C101,0001000180,3572,334112
007116,01,000208,20091222,20171027,Nasdaq 100,LGCAP,I0028,,,EXCHG,MATTEL INC,MAT,577081102,0000063276,3942,339930
007343,01,000208,20101220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICRON TECHNOLOGY INC,MU,595112103,0000723125,3674,334413
031587,01,000208,20101220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR TREE INC,DLTR,256746108,0000935703,5331,452990
157413,90,000208,20101220,20120723,Nasdaq 100,LGCAP,I0028,,,EXCHG,CTRIP.COM INTL LTD,CTRP,22943F100,0001269238,4700,561510
147579,01,000208,20101220,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETFLIX INC,NFLX,64110L106,0001065280,7841,532230
121077,01,000208,20101220,20141221,Nasdaq 100,LGCAP,I0028,,,EXCHG,F5 NETWORKS INC,FFIV,315616102,0001048695,7373,541512
024893,01,000208,20101220,20161218,Nasdaq 100,LGCAP,I0028,,,EXCHG,WHOLE FOODS MARKET INC,WFM,966837106,0000865436,5411,445110
125595,01,000208,20101220,20171217,Nasdaq 100,LGCAP,I0028,,,EXCHG,AKAMAI TECHNOLOGIES INC,AKAM,00971T101,0001086222,7370,519130
062263,01,000208,20110404,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALEXION PHARMACEUTICALS INC,ALXN,015351109,0000899866,2836,325414
028877,01,000208,20110527,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,KEURIG DR PEPPER INC,KDP,49271M100,0001418135,2086,312111
030662,01,000208,20110720,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIRIUS XM HOLDINGS INC,SIRI,82968B103,0000908937,4832,515112
024782,01,000208,20111207,20130605,Nasdaq 100,LGCAP,I0028,,,EXCHG,PERRIGO CO PLC,PRGO,G97822103,0001585364,2834,325412
024316,01,000208,20111221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER BEVERAGE CORP,MNST,61174X109,0000865752,2086,312111
180711,01,000208,20111221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADCOM INC,AVGO,11135F101,0001649338,3674,334413
205692,92,000208,20111221,20131119,Nasdaq 100,LGCAP,I0028,,,EXCHG,RANDGOLD RESOURCES LTD,GOLD,752344309,0001175580,1040,212221
028118,01,000208,20111221,20131229,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOSSIL GROUP INC,FOSL,34988V106,0000883569,3873,334519
