Ticker,Name,Asset Class,Weight (%),Notional Value,Sector
CY,CYPRESS SEMICONDUCTOR CORP,Equity,0.09,"3,158,536.73",Information Technology
MPWR,MONOLITHIC POWER SYSTEMS INC,Equity,0.09,"3,115,231.68",Information Technology
HUBS,HUBSPOT INC,Equity,0.09,"3,106,964.49",Information Technology
TDC,TERADATA CORP,Equity,0.09,"3,101,331.81",Information Technology
CREE,CREE INC,Equity,0.09,"3,037,030.23",Information Technology
LOGM,LOGMEIN INC,Equity,0.09,"2,989,280.65",Information Technology
XRX,XEROX CORP,Equity,0.08,"2,883,437.40",Information Technology
NUAN,NUANCE COMMUNICATIONS INC,Equity,0.08,"2,813,907.28",Information Technology
MDSO,MEDIDATA SOLUTIONS INC,Equity,0.08,"2,793,124.45",Health Care
OLED,UNIVERSAL DISPLAY CORP,Equity,0.08,"2,757,829.08",Information Technology
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.08,"2,584,485.80",Information Technology
ENTG,ENTEGRIS INC,Equity,0.07,"2,555,280.42",Information Technology
NEWR,NEW RELIC INC,Equity,0.07,"2,474,074.44",Information Technology
SNAP,SNAP INC CLASS A,Equity,0.07,"2,466,909.90",Communication
VSAT,VIASAT INC,Equity,0.07,"2,456,800.00",Information Technology
RP,REALPAGE INC,Equity,0.07,"2,412,232.86",Information Technology
MKSI,MKS INSTRUMENTS INC,Equity,0.07,"2,398,198.75",Information Technology
Z,ZILLOW GROUP INC CLASS C,Equity,0.07,"2,393,467.02",Communication
SNX,SYNNEX CORP,Equity,0.07,"2,364,055.40",Information Technology
FEYE,FIREEYE INC,Equity,0.07,"2,346,769.80",Information Technology
SLAB,SILICON LABORATORIES INC,Equity,0.07,"2,343,278.08",Information Technology
JCOM,J2 GLOBAL INC,Equity,0.07,"2,292,198.42",Information Technology
TECD,TECH DATA CORP,Equity,0.06,"2,220,386.00",Information Technology
COMM,COMMSCOPE HOLDING INC,Equity,0.06,"2,211,593.70",Information Technology
ACIW,ACI WORLDWIDE INC,Equity,0.06,"2,178,639.90",Information Technology
BLKB,BLACKBAUD INC,Equity,0.06,"2,132,870.06",Information Technology
TWOU,2U INC,Equity,0.06,"2,067,961.72",Information Technology
NTNX,NUTANIX INC CLASS A,Equity,0.06,"2,025,960.62",Information Technology
VRNT,VERINT SYSTEMS INC,Equity,0.06,"2,024,215.60",Information Technology
SMTC,SEMTECH CORP,Equity,0.06,"2,011,295.16",Information Technology
MANH,MANHATTAN ASSOCIATES INC,Equity,0.06,"2,008,102.18",Information Technology
VSM,VERSUM MATERIALS INC,Equity,0.06,"2,000,044.72",Information Technology
NCR,NCR CORP,Equity,0.06,"1,928,309.76",Information Technology
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Equity,0.06,"1,924,736.67",Information Technology
PSTG,PURE STORAGE INC CLASS A,Equity,0.06,"1,911,068.64",Information Technology
LITE,LUMENTUM HOLDINGS INC,Equity,0.05,"1,844,740.23",Information Technology
PRSP,PERSPECTA INC,Equity,0.05,"1,812,671.68",Information Technology
STMP,STAMPS.COM INC,Equity,0.05,"1,806,482.99",Consumer Discretionary
FNSR,FINISAR CORP,Equity,0.05,"1,786,749.30",Information Technology
IDCC,INTERDIGITAL INC,Equity,0.05,"1,697,824.48",Information Technology
VIAV,VIAVI SOLUTIONS INC,Equity,0.05,"1,585,962.37",Information Technology
CVLT,COMMVAULT SYSTEMS INC,Equity,0.05,"1,579,920.00",Information Technology
P,PANDORA MEDIA INC,Equity,0.05,"1,563,622.50",Communication
ELLI,ELLIE MAE INC,Equity,0.04,"1,501,174.27",Information Technology
CRUS,CIRRUS LOGIC INC,Equity,0.04,"1,499,830.42",Information Technology
UBNT,UBIQUITI NETWORKS INC,Equity,0.04,"1,386,346.65",Information Technology
NTCT,NETSCOUT SYSTEMS INC,Equity,0.04,"1,259,833.12",Information Technology
SATS,ECHOSTAR CORP CLASS A,Equity,0.04,"1,218,068.59",Information Technology
PEGA,PEGASYSTEMS INC,Equity,0.03,"1,187,005.61",Information Technology
MDRX,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,Equity,0.03,"1,182,730.90",Health Care
ZG,ZILLOW GROUP INC CLASS A,Equity,0.03,"995,520.51",Communication
CARS,CARS.COM INC,Equity,0.03,"982,044.00",Communication
SYNA,SYNAPTICS INC,Equity,0.03,"893,706.39",Information Technology
CDAY,CERIDIAN HCM HOLDING INC,Equity,0.02,"855,945.87",Information Technology
PLT,PLANTRONICS INC,Equity,0.02,"795,104.10",Information Technology
CARG,CARGURUS INC CLASS A,Equity,0.02,"755,733.20",Communication
DOCU,DOCUSIGN INC,Equity,0.02,"619,802.30",Information Technology
ZS,ZSCALER INC,Equity,0.01,"377,735.58",Information Technology
USD,USD CASH,Cash,-0.17,"-5,941,978.24",Cash and/or Derivatives
